feature,lab_min,lab_median,lab_max
MDVP:Jitter(%),0.0013786092978992322,0.008430742049148572,0.09615191788966708
MDVP:Jitter(Abs),5.789570135415734e-06,5.6932009388182326e-05,0.000507202582964886
MDVP:RAP,0.0007306354279455696,0.004294858734981289,0.05376512474799622
MDVP:PPQ,0.0008015525312078866,0.004387564280503548,0.0694933532880084
Jitter:DDP,0.002191906283836709,0.012884576204943866,0.16129537424398865
MDVP:Shimmer,0.013828812495703773,0.0780865173302685,0.26437179886021567
MDVP:Shimmer(dB),0.1257446212016434,0.8206678610464455,1.9601827733239627
Shimmer:APQ3,0.007205691503033887,0.03313981754268825,0.1297008176318185
Shimmer:APQ5,0.008235491094705423,0.041138037347757096,0.2287745420656891
HNR,1.4689960127979524,15.90911634248675,28.479091775774933
